City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,jamestown,42.097,-79.2353,287.33,93,100,1.79,US,24-06-08
81,flin flon,54.7682,-101.865,277.84,96,100,1.78,CA,24-06-08
82,tofol,5.3248,163.0078,304.03,70,75,3.6,FM,24-06-08
83,kwaksan,39.6875,125.0828,295.45,74,16,4.19,KP,24-06-08
84,tura,25.5198,90.2201,306.15,64,67,3.42,IN,24-06-08
85,port elizabeth,-33.918,25.5701,284.99,92,0,1.03,ZA,24-06-08
86,buka,40.8108,69.1986,308.77,16,0,2.02,UZ,24-06-08
87,arraial do cabo,-22.9661,-42.0278,295.29,81,0,7.73,BR,24-06-08
88,portland,45.5234,-122.6762,293.14,49,40,3.6,US,24-06-08
89,yung shue wan,22.2333,114.1167,300.83,90,100,4.47,HK,24-06-08
90,tual,-5.6667,132.75,299.89,81,35,8.52,ID,24-06-08
91,tidjikja,18.5564,-11.4271,303.9,37,92,3.69,MR,24-06-08
92,bulgan,48.8125,103.5347,300.09,23,80,3.64,MN,24-06-08
93,kerikeri,-35.2268,173.9474,290.88,95,100,2.24,NZ,24-06-08
94,nagqu,31.5,92.0,285.94,44,46,3.59,CN,24-06-08
95,enewetak,11.3474,162.3373,301.65,84,100,6.41,MH,24-06-08
96,nelson bay,-32.7167,152.15,289.82,74,51,0.45,AU,24-06-08
97,zurrieq,35.8311,14.4742,296.88,69,0,3.09,MT,24-06-08
98,santa luzia,-19.7697,-43.8514,289.14,86,4,1.71,BR,24-06-08
99,zymohiria,48.5857,38.9273,296.88,58,65,2.54,UA,24-06-08
100,udachny,66.4167,112.4,294.51,33,100,4.56,RU,24-06-08
101,gisborne,-38.6533,178.0042,286.22,83,100,2.93,NZ,24-06-08
102,san luis,-33.295,-66.3356,289.16,75,2,6.1,AR,24-06-08
103,glace bay,46.1969,-59.957,283.65,97,100,3.09,CA,24-06-08
104,bikenibeu village,1.3673,173.1241,302.13,84,40,2.06,KI,24-06-08
105,colares,38.7992,-9.4469,292.29,95,75,5.81,PT,24-06-08
106,kingston,17.997,-76.7936,301.68,70,20,4.63,JM,24-06-08
107,borovichi,58.3878,33.9155,289.89,52,96,2.63,RU,24-06-08
108,impfondo,1.6381,18.0667,299.37,79,55,1.41,CG,24-06-08
109,lebu,-37.6167,-73.65,285.7,88,100,8.24,CL,24-06-08
110,papatowai,-46.5619,169.4708,283.6,91,100,2.5,NZ,24-06-08
111,sitka,57.0531,-135.33,285.09,76,75,3.6,US,24-06-08
112,aurora,39.7294,-104.8319,289.94,81,20,3.09,US,24-06-08
113,oliver,49.1831,-119.5524,294.1,32,100,0.51,CA,24-06-08
114,kunming,25.0389,102.7183,291.11,82,100,5.0,CN,24-06-08
115,ust'-ilimsk,58.0006,102.6619,294.51,31,100,3.58,RU,24-06-08
116,cole harbour,44.6724,-63.4751,285.81,96,83,2.06,CA,24-06-08
117,hamilton,39.1834,-84.5333,295.05,77,40,5.81,US,24-06-08
118,puerto ayora,-0.7393,-90.3518,295.12,98,40,1.48,EC,24-06-08
119,muisne,0.6,-80.0333,297.39,91,100,3.35,EC,24-06-08
120,sandnessjoen,66.0217,12.6316,288.44,61,12,2.62,NO,24-06-08
121,staraya vichuga,57.2683,41.8787,291.33,64,7,4.07,RU,24-06-08
122,port hueneme,34.1478,-119.1951,291.74,87,100,2.06,US,24-06-08
123,touros,-5.1989,-35.4608,297.1,95,100,5.18,BR,24-06-08
124,pizarro,4.9533,-77.366,298.82,91,100,2.26,CO,24-06-08
125,robbah,33.2797,6.9098,306.95,8,100,8.35,DZ,24-06-08
126,constantia,44.1833,28.65,301.32,56,100,3.08,RO,24-06-08
127,saipan,15.1355,145.701,305.54,62,40,6.17,MP,24-06-08
128,luderitz,-26.6481,15.1594,292.28,29,68,7.9,NA,24-06-08
129,dryden,49.7833,-92.7503,286.31,54,100,4.63,CA,24-06-08
130,bredasdorp,-34.5322,20.0403,283.7,83,0,1.16,ZA,24-06-08
131,puerto baquerizo moreno,-0.9,-89.6,295.18,83,11,1.83,EC,24-06-08
132,saint-pierre,-21.3393,55.4781,298.97,61,0,2.57,RE,24-06-08
133,zavodoukovsk,56.5042,66.5515,291.4,60,100,6.48,RU,24-06-08
134,puerto deseado,-47.7503,-65.8938,279.88,90,100,7.97,AR,24-06-08
135,west island,-12.1568,96.8225,303.14,70,40,6.17,CC,24-06-08
136,san patricio,28.017,-97.5169,302.09,86,52,3.49,US,24-06-08
137,broome,42.2506,-75.833,288.36,86,100,2.06,US,24-06-08
138,flying fish cove,-10.4217,105.6791,299.97,83,100,4.63,CX,24-06-08
139,manokwari,-0.8667,134.0833,301.54,75,63,1.87,ID,24-06-08
140,sainte-rose,16.3324,-61.6979,299.17,89,0,2.06,GP,24-06-08
141,thunder bay,48.4001,-89.3168,285.14,87,100,4.12,CA,24-06-08
142,banda aceh,5.5577,95.3222,303.73,68,100,8.36,ID,24-06-08
143,fendou,46.65,124.8667,298.13,30,21,4.99,CN,24-06-08
144,castillos,-34.1667,-53.8333,289.87,95,100,3.22,UY,24-06-08
145,dudinka,69.4058,86.1778,275.16,84,42,1.14,RU,24-06-08
146,olonkinbyen,70.9221,-8.7187,273.02,93,100,7.38,SJ,24-06-08
147,bouarfa,32.53,-1.95,291.68,53,100,3.96,MA,24-06-08
148,brandon,27.9378,-82.2859,301.49,87,40,0.89,US,24-06-08
149,fort st. john,56.2499,-120.8529,281.09,66,75,3.6,CA,24-06-08
150,shenjiamen,29.9576,122.298,295.77,72,95,3.13,CN,24-06-08
151,kodiak,57.79,-152.4072,280.88,93,100,8.23,US,24-06-08
152,nefta,33.8731,7.8777,305.29,10,97,2.49,TN,24-06-08
153,whitehorse,60.7161,-135.0538,292.58,27,75,2.06,CA,24-06-08
154,vorkuta,67.5,64.0,272.1,93,41,0.89,RU,24-06-08
155,bilibino,68.0546,166.4372,285.95,36,6,4.27,RU,24-06-08
156,freeport,40.6576,-73.5832,294.81,75,0,3.09,US,24-06-08
157,kununurra,-15.7667,128.7333,301.14,23,6,3.6,AU,24-06-08
158,malango,-2.9627,119.9001,298.42,83,58,1.15,ID,24-06-08
159,puerto santa,-8.9906,-78.6456,290.76,88,99,4.44,PE,24-06-08
160,bandiagara,14.3501,-3.6104,305.08,40,87,4.77,ML,24-06-08
161,tralee,52.2704,-9.7026,284.41,80,100,3.99,IE,24-06-08
162,port alfred,-33.5906,26.891,288.94,60,0,2.03,ZA,24-06-08
163,tolanaro,-25.0319,46.9987,293.19,64,75,6.17,MG,24-06-08
164,port el kantaoui,35.8924,10.5943,298.12,40,100,3.92,TN,24-06-08
165,vila velha,-20.3297,-40.2925,292.12,100,0,1.03,BR,24-06-08
166,stanley,54.868,-1.6985,283.59,77,20,7.2,GB,24-06-08
167,inverurie,57.2845,-2.3774,282.94,74,20,7.72,GB,24-06-08
168,geraldton,-28.7667,114.6,294.38,73,100,8.75,AU,24-06-08
169,alofi,-19.0595,-169.9187,294.09,73,40,3.09,NU,24-06-08
170,axim,4.8699,-2.2405,298.95,86,100,4.05,GH,24-06-08
171,lorengau,-2.0226,147.2712,302.7,73,7,3.44,PG,24-06-08
172,valley city,46.9233,-98.0032,284.44,76,0,3.09,US,24-06-08
173,bokovskaya,49.229,41.8306,296.96,42,100,1.19,RU,24-06-08
174,port douglas,-16.4833,145.4667,295.02,70,13,5.0,AU,24-06-08
175,saudarkrokur,65.7461,-19.6394,277.96,81,14,0.86,IS,24-06-08
176,pingyin,36.2831,116.4453,313.14,10,100,3.43,CN,24-06-08
177,vuktyl,63.8567,57.3094,293.68,48,100,5.81,RU,24-06-08
178,corner brook,48.9667,-57.9484,281.24,96,9,1.67,CA,24-06-08
179,naze,28.3667,129.4833,300.66,75,33,5.39,JP,24-06-08
180,freetown,8.484,-13.2299,297.99,94,75,1.54,SL,24-06-08
181,guerrero negro,27.9769,-114.0611,288.97,89,28,6.33,MX,24-06-08
182,qaqortoq,60.7167,-46.0333,277.5,98,100,0.7,GL,24-06-08
183,ishim,56.1128,69.4902,290.95,66,100,5.36,RU,24-06-08
184,peniche,39.3558,-9.3811,290.99,97,99,3.9,PT,24-06-08
185,vorgashor,67.5833,63.95,271.93,93,44,1.92,RU,24-06-08
186,gadzhiyevo,69.2551,33.3362,279.0,78,100,4.6,RU,24-06-08
187,ivanteyevka,55.9711,37.9208,290.96,51,40,2.02,RU,24-06-08
188,port mathurin,-19.6833,63.4167,297.06,80,20,8.37,MU,24-06-08
189,marco island,25.9363,-81.7157,300.15,96,0,3.27,US,24-06-08
190,woolgoolga,-30.1106,153.2007,293.08,60,100,2.37,AU,24-06-08
191,tazacorte,28.629,-17.9293,292.69,84,75,3.13,ES,24-06-08
192,aasiaat,68.7098,-52.8699,273.45,91,19,2.76,GL,24-06-08
193,stephenville,32.2207,-98.2023,299.74,76,0,3.09,US,24-06-08
194,praia da vitoria,38.7333,-27.0667,292.29,88,40,3.73,PT,24-06-08
195,gualaceo,-2.9,-78.7833,287.17,99,100,1.07,EC,24-06-08
196,rodino,52.5,80.25,296.13,63,100,2.85,RU,24-06-08
197,gus'-khrustal'nyy,55.6111,40.6519,294.43,47,10,2.85,RU,24-06-08
198,la gi,10.6667,107.7833,304.05,67,100,5.86,VN,24-06-08
199,koryazhma,61.3143,47.1691,288.66,60,100,3.02,RU,24-06-08
200,doka,13.5167,35.7667,303.95,44,100,6.27,SD,24-06-08
201,anna regina,7.2644,-58.5077,298.81,90,100,1.23,GY,24-06-08
202,st. john's,47.5649,-52.7093,282.12,96,100,3.6,CA,24-06-08
203,mito,36.3414,140.4467,297.11,64,75,4.63,JP,24-06-08
204,kendari,-3.945,122.4989,301.53,77,70,2.7,ID,24-06-08
205,yuzhno-kurilsk,44.0306,145.8556,287.8,80,100,4.95,RU,24-06-08
206,rio grande,-32.035,-52.0986,288.68,95,100,3.85,BR,24-06-08
207,hasaki,35.7333,140.8333,297.37,76,100,5.04,JP,24-06-08
208,mgandu,-5.95,34.1333,293.86,41,19,6.83,TZ,24-06-08
209,ola,59.5833,151.2833,281.56,84,85,5.69,RU,24-06-08
210,yaren,-0.5472,166.916,303.21,70,18,5.75,NR,24-06-08
211,tyukhtet,56.5389,89.3011,287.97,70,99,5.86,RU,24-06-08
